Epoch,Time(s),Loss,F1
00000,1.1835,0.6366,0.0009
00001,0.9384,0.4933,0.0009
00002,0.8495,0.3918,0.0000
00003,0.8142,0.4657,0.0000
00004,0.8163,0.4292,0.0000
00005,0.8175,0.3905,0.0000
00006,0.7883,0.3822,0.0000
00007,0.7707,0.3861,0.0000
00008,0.7467,0.3901,0.0000
00009,0.7221,0.3902,0.0000
00010,0.7015,0.3868,0.0000
00011,0.6860,0.3813,0.0000
00012,0.6823,0.3768,0.0000
00013,0.6784,0.3752,0.0000
00014,0.6737,0.3767,0.0000
00015,0.6697,0.3774,0.0000
00016,0.6641,0.3754,0.0000
00017,0.6643,0.3731,0.0000
00018,0.6678,0.3738,0.0000
00019,0.6692,0.3750,0.0000
00020,0.6688,0.3743,0.0000
00021,0.6708,0.3733,0.0000
00022,0.6653,0.3736,0.0000
00023,0.6616,0.3743,0.0000
00024,0.6604,0.3743,0.0000
00025,0.6589,0.3737,0.0000
00026,0.6578,0.3731,0.0000
00027,0.6565,0.3731,0.0000
00028,0.6518,0.3733,0.0000
00029,0.6568,0.3732,0.0000
00030,0.6596,0.3728,0.0000
00031,0.6600,0.3727,0.0000
00032,0.6623,0.3727,0.0000
00033,0.6731,0.3728,0.0000
00034,0.6821,0.3727,0.0000
00035,0.6837,0.3725,0.0000
00036,0.6846,0.3723,0.0000
00037,0.6846,0.3723,0.0000
00038,0.6821,0.3723,0.0000
00039,0.6794,0.3721,0.0000
00040,0.6753,0.3719,0.0000
00041,0.6739,0.3719,0.0000
00042,0.6724,0.3718,0.0000
00043,0.6685,0.3715,0.0000
00044,0.6675,0.3714,0.0000
00045,0.6651,0.3713,0.0000
00046,0.6617,0.3710,0.0000
00047,0.6587,0.3709,0.0000
00048,0.6578,0.3706,0.0000
00049,0.6579,0.3702,0.0000
00050,0.6605,0.3698,0.0000
00051,0.6632,0.3693,0.0000
00052,0.6658,0.3688,0.0000
00053,0.6675,0.3682,0.0000
00054,0.6663,0.3675,0.0000
